Detector,Keypoints,Descriptor,Matcher,Descriptor Type,Selector,Detector time,Descriptor time,Total time
ORB,127,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00946785,0.000651726,0.010119576
ORB,128,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00859857,0.000682475,0.009281045
ORB,102,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00673842,0.0135002,0.02023862
ORB,106,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00686537,0.0134578,0.02032317
ORB,113,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00809414,0.0137687,0.02186284
ORB,109,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00685063,0.0136409,0.02049153
ORB,125,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00666743,0.0133601,0.02002753
ORB,130,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00886963,0.0133833,0.02225293
ORB,129,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00820702,0.0138923,0.02209932
ORB,127,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00690697,0.0133731,0.02028007
ORB,128,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00902138,0.013865,0.02288638
ORB,102,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00686481,0.038486,0.04535081
ORB,106,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00832837,0.037592,0.04592037
ORB,113,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00692602,0.0364662,0.04339222
ORB,109,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00920199,0.0373797,0.04658169
ORB,125,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00909102,0.0370503,0.04614132
ORB,130,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00694441,0.0371329,0.04407731
ORB,129,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00704363,0.0371133,0.04415693
ORB,127,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00832096,0.0371533,0.04547426
ORB,128,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00936538,0.0369432,0.04630858
ORB,102,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00637545,0.0313872,0.03776265
ORB,106,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00884558,0.0330911,0.04193668
ORB,113,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00738658,0.0333508,0.04073738
ORB,109,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00749411,0.0307603,0.03825441
ORB,125,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00930461,0.0348044,0.04410901
ORB,130,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00756369,0.0366376,0.04420129
ORB,129,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00967607,0.0374375,0.04711357
ORB,127,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00757566,0.0389951,0.04657076
ORB,128,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00630909,0.03696,0.04326909
AKAZE,157,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0449602,0.260598,0.3055582
AKAZE,161,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0483461,0.253892,0.3022381
AKAZE,155,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0475395,0.253945,0.3014845
AKAZE,163,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0502703,0.25803,0.3083003
